QualifiedName,ModifiedName,CBO,DIT,WMC,LOC,LCOM
org.apache.pdfbox.contentstream.operator.text.MoveTextSetLeading,org/apache/pdfbox/contentstream/operator/text/MoveTextSetLeading.java-2.0.26,0,1,0,16,0
org.apache.pdfbox.contentstream.operator.text.NextLine,org/apache/pdfbox/contentstream/operator/text/NextLine.java-2.0.26,0,1,0,10,0
org.apache.pdfbox.contentstream.operator.text.SetCharSpacing,org/apache/pdfbox/contentstream/operator/text/SetCharSpacing.java-2.0.26,0,1,0,12,0
org.apache.pdfbox.contentstream.operator.text.SetFontAndSize,org/apache/pdfbox/contentstream/operator/text/SetFontAndSize.java-2.0.26,1,1,0,22,0
org.apache.pdfbox.contentstream.operator.text.SetTextHorizontalScaling,org/apache/pdfbox/contentstream/operator/text/SetTextHorizontalScaling.java-2.0.26,0,1,0,13,0
org.apache.pdfbox.contentstream.operator.text.SetTextLeading,org/apache/pdfbox/contentstream/operator/text/SetTextLeading.java-2.0.26,0,1,0,13,0
org.apache.pdfbox.contentstream.operator.text.SetTextRenderingMode,org/apache/pdfbox/contentstream/operator/text/SetTextRenderingMode.java-2.0.26,0,1,0,17,0
org.apache.pdfbox.contentstream.operator.text.SetTextRise,org/apache/pdfbox/contentstream/operator/text/SetTextRise.java-2.0.26,0,1,0,13,0
org.apache.pdfbox.contentstream.operator.text.SetWordSpacing,org/apache/pdfbox/contentstream/operator/text/SetWordSpacing.java-2.0.26,0,1,0,13,0
org.apache.pdfbox.contentstream.operator.text.ShowText,org/apache/pdfbox/contentstream/operator/text/ShowText.java-2.0.26,0,1,0,15,0
org.apache.pdfbox.contentstream.operator.text.ShowTextAdjusted,org/apache/pdfbox/contentstream/operator/text/ShowTextAdjusted.java-2.0.26,0,1,0,15,0
org.apache.pdfbox.contentstream.operator.text.ShowTextLine,org/apache/pdfbox/contentstream/operator/text/ShowTextLine.java-2.0.26,0,1,0,8,0
org.apache.pdfbox.contentstream.operator.text.ShowTextLineAndSpace,org/apache/pdfbox/contentstream/operator/text/ShowTextLineAndSpace.java-2.0.26,0,1,0,11,0
org.apache.pdfbox.cos.COSArray,org/apache/pdfbox/cos/COSArray.java-2.0.26,5,1,50,144,0
org.apache.pdfbox.cos.COSBase,org/apache/pdfbox/cos/COSBase.java-2.0.26,0,0,4,11,0
org.apache.pdfbox.cos.COSBoolean,org/apache/pdfbox/cos/COSBoolean.java-2.0.26,0,1,4,27,1.1
org.apache.pdfbox.cos.COSDictionary,org/apache/pdfbox/cos/COSDictionary.java-2.0.26,10,1,61,392,0
org.apache.pdfbox.cos.COSDocument,org/apache/pdfbox/cos/COSDocument.java-2.0.26,9,1,61,174,0.923
org.apache.pdfbox.cos.COSFloat,org/apache/pdfbox/cos/COSFloat.java-2.0.26,0,2,15,68,0
org.apache.pdfbox.cos.COSInputStream,org/apache/pdfbox/cos/COSInputStream.java-2.0.26,1,0,2,39,0
org.apache.pdfbox.cos.COSInteger,org/apache/pdfbox/cos/COSInteger.java-2.0.26,0,2,13,53,1
org.apache.pdfbox.cos.COSName,org/apache/pdfbox/cos/COSName.java-2.0.26,0,1,4,600,0
org.apache.pdfbox.cos.COSNull,org/apache/pdfbox/cos/COSNull.java-2.0.26,0,1,1,12,0
org.apache.pdfbox.cos.COSNumber,org/apache/pdfbox/cos/COSNumber.java-2.0.26,1,1,4,38,0
org.apache.pdfbox.cos.COSObject,org/apache/pdfbox/cos/COSObject.java-2.0.26,2,1,16,49,0.867
org.apache.pdfbox.cos.COSObjectKey,org/apache/pdfbox/cos/COSObjectKey.java-2.0.26,1,0,11,39,0.375
org.apache.pdfbox.cos.COSOutputStream,org/apache/pdfbox/cos/COSOutputStream.java-2.0.26,5,0,12,67,0.667
org.apache.pdfbox.cos.COSStream,org/apache/pdfbox/cos/COSStream.java-2.0.26,8,2,19,139,0.7
org.apache.pdfbox.cos.COSString,org/apache/pdfbox/cos/COSString.java-2.0.26,1,1,7,74,0.875
org.apache.pdfbox.cos.COSUpdateInfo,org/apache/pdfbox/cos/COSUpdateInfo.java-2.0.26,0,1,2,3,0
